รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,imageUrls,videoUrls,downloadedImages,downloadedVideos,imagesCount,videosCount,mediaStatus
2594805678,🔥อันดับ1🔥 ROCKER น้ำยาทำความสะอาดรองเท้า Premium สูตรใหม่ ฟรีแปรง+ผ้าไมโคร ซักรองเท้า ขัดรองเท้า เช็ดรองเท้า,199,200พัน+,ROCKER น้ำยาทำความสะอาดรองเท้า,13.75%,฿27.36,https://shopee.co.th/product/28794063/2594805678,https://s.shopee.co.th/8fM5ddAqJi,https://deo.shopeemobile.com/shopee/shopee-pcmall-live-sg/assets/1c8bdaaf45e1fd48.png|https://down-th.img.susercontent.com/file/sg-11134004-7rdwy-lzzohqhv3uqi79,,/products/2594805678/image-1.png|/products/2594805678/image-2.jpg,,2,,success
54103031406,🌷ของแท้ 100% 🎆 Adidas Originals CTT CTT 3.0 Denim Jacket ยูนิเซ็กซ์ หลวม แจ็คเก็ตยีนส์,3.7พัน,7,Roy's Clothing.th,16.75%,฿619.75,https://shopee.co.th/product/1670209903/54103031406,https://s.shopee.co.th/8pfVpwACyl,https://deo.shopeemobile.com/shopee/shopee-pcmall-live-sg/assets/1c8bdaaf45e1fd48.png|https://down-th.img.susercontent.com/file/sg-11134004-7rdwy-lzzohqhv3uqi79,,/products/54103031406/image-1.png|/products/54103031406/image-2.jpg,,2,,success
